City,datemon,PM2.5,NO,NO2,CO,SO2,O3,AQI,AQI Bucket
Ahmedabad,01-01-2018,88.85129032,33.07419355,141.6467742,33.07419355,109.3958065,51.06516129,692.1666667,Severe
Ahmedabad,01-02-2018,102.1985185,57.09,155.7318519,57.09,120.8388462,42.12148148,932,Severe
Ahmedabad,01-03-2018,97.91612903,34.50903226,114.6964516,34.50903226,92.53935484,48.05793103,781.2258065,Severe
Ahmedabad,01-04-2018,81.73166667,22.61866667,61.71266667,22.61866667,51.413,43.90034483,556.2666667,Severe
Ahmedabad,01-05-2018,53.55193548,12.28354839,33.37612903,12.28354839,68.9816129,32.9816,322.8965517,Very Poor
Ahmedabad,01-06-2018,56.821,29.23366667,45.74566667,29.23366667,42.26566667,14.21111111,430.5,Severe
Ahmedabad,01-07-2018,57.57096774,27.68193548,59.73774194,27.68193548,25.77645161,2.595909091,453.8064516,Severe
Ahmedabad,01-08-2018,42.00709677,27.52419355,54.64129032,27.52419355,79.06354839,12.64695652,465.516129,Severe
Ahmedabad,01-09-2018,26.29896552,31.00689655,84.94758621,31.00689655,60.64896552,37.415,557.6296296,Severe
Ahmedabad,01-10-2018,96.21129032,37.89967742,99.91516129,37.89967742,77.75870968,57.78133333,681.3870968,Severe
Ahmedabad,01-11-2018,102.1503333,54.11833333,92.47666667,54.11833333,60.95833333,53.48192308,955.3666667,Severe
Ahmedabad,01-12-2018,91.92064516,35.02645161,81.98709677,35.02645161,55.28354839,53.58966667,665.3870968,Severe
Ahmedabad,01-01-2019,89.45645161,42.16,82.76129032,42.16,63.51322581,52.981,755.516129,Severe
Ahmedabad,01-02-2019,61.61928571,25.73821429,72.19178571,25.73821429,51.02714286,44.67428571,560.5357143,Severe
Ahmedabad,01-03-2019,66.98903226,27.01322581,74.67258065,27.01322581,46.61870968,47.58387097,601.7419355,Severe
Ahmedabad,01-04-2019,96.88964286,27.55428571,70.70321429,27.55428571,33.95214286,42.68357143,633.5185185,Severe
Ahmedabad,01-05-2019,52.94107143,17.85444444,80.0137037,17.85444444,100.3467857,38.70703704,412.7692308,Severe
Ahmedabad,01-06-2019,43.34966667,20.63366667,133.567,20.63366667,65.47066667,62.53833333,395.1333333,Very Poor
Ahmedabad,01-07-2019,43.72032258,30.01903226,111.6670968,30.01903226,72.27032258,45.99870968,480.5333333,Severe
Ahmedabad,01-08-2019,43.46064516,33.01129032,48.18064516,33.01129032,43.27548387,42.87935484,516.8709677,Severe
Ahmedabad,01-09-2019,44.06689655,25.37666667,82.59666667,25.37666667,69.24433333,44.091,466.1481481,Severe
Ahmedabad,01-10-2019,78.06516129,31.05870968,153.1967742,31.05870968,130.3786207,73.00129032,621.3333333,Severe
Ahmedabad,01-11-2019,61.80366667,20.11866667,141.9106667,20.11866667,150.0603704,33.66066667,451,Severe
Ahmedabad,01-12-2019,63.70806452,11.70290323,39.13322581,11.70290323,57.48451613,28.8983871,293.5483871,Poor
Ahmedabad,01-01-2020,54.2116129,15.88903226,19.58967742,15.88903226,51.15451613,26.43709677,294.1111111,Poor
Ahmedabad,01-02-2020,73.89068966,26.83551724,62.71482759,26.83551724,56.18517241,49.19357143,547.6896552,Severe
Ahmedabad,01-03-2020,45.25580645,8.305483871,33.91741935,8.305483871,43.71064516,43.05464286,277.4666667,Poor
